RMSE,MAE,R2,N,label,feat_cols,step,step_min,target,scenario,level
428.44,276.24,0.9621,1743,[单机] P0: 仅历史功率,power,1,10,power,P0: 仅历史功率,single
610.1,401.07,0.9232,1743,[单机] P0: 仅历史功率,power,2,20,power,P0: 仅历史功率,single
720.51,487.63,0.893,1743,[单机] P0: 仅历史功率,power,3,30,power,P0: 仅历史功率,single
797.8,552.33,0.869,1743,[单机] P0: 仅历史功率,power,6,60,power,P0: 仅历史功率,single
434.72,284.34,0.961,1743,[单机] M0: SCADA机舱风速+功率,HWS_scada|power,1,10,power,M0: SCADA机舱风速+功率,single
613.47,409.02,0.9224,1743,[单机] M0: SCADA机舱风速+功率,HWS_scada|power,2,20,power,M0: SCADA机舱风速+功率,single
743.34,507.97,0.8861,1743,[单机] M0: SCADA机舱风速+功率,HWS_scada|power,3,30,power,M0: SCADA机舱风速+功率,single
813.85,570.23,0.8637,1743,[单机] M0: SCADA机舱风速+功率,HWS_scada|power,6,60,power,M0: SCADA机舱风速+功率,single
446.91,290.28,0.9588,1743,[单机] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power,1,10,power,M5: 全距离LiDAR+SCADA+功率,single
626.64,419.17,0.919,1743,[单机] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power,2,20,power,M5: 全距离LiDAR+SCADA+功率,single
743.55,508.86,0.8861,1743,[单机] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power,3,30,power,M5: 全距离LiDAR+SCADA+功率,single
837.94,581.03,0.8555,1743,[单机] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power,6,60,power,M5: 全距离LiDAR+SCADA+功率,single
