风机型号,风速,标准静态功率,现场静态功率,标准动态功率,现场动态功率,标准空气密度(kg/m3),现场空气密度(kg/m3)
MySE6.45-180,3,117,107,86,74,1.225,1.163
MySE6.45-180,3.5,225,208,203,189,1.225,1.163
MySE6.45-180,4,360,341,320,304,1.225,1.163
MySE6.45-180,4.5,534,498,527,495,1.225,1.163
MySE6.45-180,5,779,730,791,746,1.225,1.163
MySE6.45-180,5.5,1071,1001,1097,1039,1.225,1.163
MySE6.45-180,6,1431,1323,1481,1402,1.225,1.163
MySE6.45-180,6.5,1819,1721,1940,1838,1.225,1.163
MySE6.45-180,7,2311,2156,2410,2297,1.225,1.163
MySE6.45-180,7.5,2884,2666,2889,2766,1.225,1.163
MySE6.45-180,8,3539,3319,3482,3319,1.225,1.163
MySE6.45-180,8.5,4274,4014,4093,3915,1.225,1.163
MySE6.45-180,9,5011,4743,4766,4558,1.225,1.163
MySE6.45-180,9.5,5796,5501,5218,5042,1.225,1.163
MySE6.45-180,10,6320,5994,5645,5449,1.225,1.163
MySE6.45-180,10.5,6450,6450,5901,5751,1.225,1.163
MySE6.45-180,11,6450,6450,6129,5999,1.225,1.163
MySE6.45-180,11.5,6450,6450,6237,6194,1.225,1.163
MySE6.45-180,12,6450,6450,6362,6310,1.225,1.163
MySE6.45-180,12.5,6450,6450,6415,6392,1.225,1.163
MySE6.45-180,13,6450,6450,6449,6434,1.225,1.163
MySE6.45-180,13.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,14,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,14.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,15,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,15.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,16,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,16.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,17,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,17.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,18,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,18.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,19,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,19.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,20,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,20.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,21,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,21.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,22,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,22.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,23,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,23.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,24,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,24.5,6450,6450,6450,6450,1.225,1.163
MySE6.45-180,25,6450,6450,6450,6450,1.225,1.163
