DateAndTime,Distance,Roll,Tilt,RWS1,RWS1AVL,RWS2,RWS2AVL,RWS3,RWS3AVL,RWS4,RWS4AVL,RAWS,RAWSAVL,HWS(hub),HWS(hub)AVL,DIR(hub),Veer,DIR(hub)AVL,VShear,HShear,ShearAVL,TI1,TI1AVL,TI2,TI2AVL,TI3,TI3AVL,TI4,TI4AVL,HWShigh,HWShighAVL,HWSlow,HWSlowAVL,DIRhigh,DIRhighAVL,DIRlow,DIRlowAVL,CNR1(dB),CNR2(dB),CNR3(dB),CNR4(dB)
2024/8/30 0:10,0,,,,,,,,,,,,,3.77,,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/30 0:10,40,0.06,-0.04,3.021,62.667,2.904,61.333,3.012,60.5,2.917,56.833,3.076,100,3.151,100,10.274,-0.12,100,-0.129,0.005,100,0.071,100,0.088,100,0.067,100,0.084,100,3.121,100,3.145,100,-4.229,100,-3.386,100,2.426,2.414,2.163,2.232
2024/8/30 0:10,60,0.06,-0.04,3.198,63.333,3.048,61.667,3.171,60.667,3.04,57.833,3.236,100,3.305,100,2.089,-0.059,100,-0.031,0.004,100,0.066,100,0.08,100,0.058,100,0.084,100,3.296,100,3.305,100,-5.121,100,-4.502,100,2.863,2.933,2.571,2.691
2024/8/30 0:10,90,0.06,-0.04,3.426,64,3.252,62,3.371,61.667,3.226,58.167,3.445,100,3.528,100,1.345,-0.055,100,-0.026,0.003,100,0.06,100,0.075,100,0.058,100,0.08,100,3.518,100,3.532,100,-5.559,100,-4.688,100,3.693,3.878,3.35,3.535
2024/8/30 0:10,120,0.06,-0.04,3.583,64,3.44,62.833,3.505,62.167,3.347,58.333,3.602,100,3.659,100,-7.698,0.026,100,0.071,0.002,100,0.058,100,0.068,100,0.06,100,0.07,100,3.694,100,3.648,100,-4.352,100,-4.903,100,4.635,4.775,4.206,4.402
2024/8/30 0:10,150,0.06,-0.04,3.715,64.167,3.547,62.5,3.636,62.167,3.481,58.333,3.73,100,3.793,100,-3.505,-0.011,100,0.049,0.002,100,0.058,100,0.068,100,0.064,100,0.065,100,3.822,100,3.782,100,-4.916,100,-4.631,100,4.824,4.738,4.372,4.31
2024/8/30 0:10,180,0.06,-0.04,3.801,64.167,3.653,62.167,3.714,62,3.561,58.333,3.825,100,3.879,100,-5.235,0.007,100,0.079,0.002,100,0.058,100,0.064,100,0.059,100,0.06,100,3.933,100,3.85,100,-4.244,100,-4.479,100,4.179,3.921,3.761,3.508
2024/8/30 0:10,210,0.06,-0.04,3.857,64,3.725,61.667,3.755,61.167,3.594,57.333,3.879,100,3.941,100,-7.153,0.025,100,0.082,0.001,100,0.06,100,0.065,100,0.061,100,0.072,100,4.004,100,3.902,100,-3.738,100,-4.665,100,3.361,3.061,2.979,2.682
2024/8/30 0:10,240,0.06,-0.04,3.946,63.333,3.757,61.167,3.817,60.5,3.646,56.833,3.942,100,3.996,100,-4.128,-0.008,100,0.077,0.001,100,0.059,100,0.066,100,0.059,100,0.066,100,4.064,100,3.951,100,-5.237,100,-4.899,100,2.628,2.353,2.286,2.033
2024/8/30 0:10,270,0.06,-0.04,4.02,62.333,3.804,60.667,3.871,59.5,3.656,55.667,3.99,100,4.057,100,-6.513,0.005,100,0.091,0.001,100,0.06,100,0.066,100,0.064,100,0.07,100,4.145,100,3.994,100,-5.874,100,-6.088,100,2.038,1.817,1.75,1.548
2024/8/30 0:10,300,0.06,-0.04,4.095,61.333,3.825,59,3.918,58.5,3.643,54.5,4.024,100,4.107,100,-8.534,0.009,100,0.101,0.002,100,0.063,100,0.065,100,0.065,100,0.067,100,4.214,100,4.022,100,-7.258,100,-7.725,100,1.606,1.443,1.357,1.204
2024/8/30 0:20,0,,,,,,,,,,,,,3.96,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/30 0:20,40,0.05,-0.03,3.233,64.5,3.058,61.667,3.234,59.167,3.072,56.5,3.266,100,3.342,100,1.985,-0.066,100,-0.034,0.008,100,0.09,100,0.081,100,0.091,100,0.08,100,3.331,100,3.339,100,-5.938,100,-5.478,100,2.537,2.485,2.207,2.285
2024/8/30 0:20,60,0.05,-0.03,3.406,64.833,3.214,61.833,3.405,59.833,3.199,57.333,3.431,100,3.498,100,-11.353,0.042,100,0.072,0.006,100,0.082,100,0.073,100,0.074,100,0.076,100,3.52,100,3.498,100,-6.192,100,-6.635,100,2.988,3.007,2.623,2.741
2024/8/30 0:20,90,0.05,-0.03,3.592,65.167,3.382,62.667,3.623,60.333,3.41,57.833,3.638,100,3.725,100,-6.352,-0.001,100,-0.024,0.004,100,0.081,100,0.063,100,0.063,100,0.068,100,3.718,100,3.729,100,-6.432,100,-6.422,100,3.853,3.953,3.404,3.589
2024/8/30 0:20,120,0.05,-0.03,3.786,65.667,3.514,63.167,3.794,61.333,3.536,58,3.798,100,3.896,100,-5.284,-0.021,100,0,0.004,100,0.074,100,0.067,100,0.062,100,0.065,100,3.9,100,3.897,100,-7.921,100,-7.487,100,4.846,4.862,4.269,4.444
2024/8/30 0:20,150,0.05,-0.03,3.892,65.667,3.633,63,3.934,61.167,3.615,57.833,3.914,100,4.018,100,-15.449,0.062,100,0.008,0.004,100,0.073,100,0.061,100,0.066,100,0.058,100,4.026,100,4.016,100,-7.323,100,-8.962,100,5.052,4.833,4.447,4.364
